Répartition Générale (Pondération),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Liq,DevT,CTerme,Oblig,Actions,HF,MPrem,Autres,Total,,,,,,,,,,,,,,,,,
,CHF,13.16206289,16.64237792,0,0,2.21021613,0.594990373,6.035932141,0.744623435,39.39020289,,,,,,,,,,,,,,,,,
,EUR,6.319084701,-18.74630814,0,31.23650501,24.14417512,1.20811356,3.690928199,3.596349831,51.44884828,,,,,,,,,,,,,,,,,
,USD,1.363703282,2.042868981,1.131590121,,0.019113972,2.356749989,1.264292336,0.730461718,8.908780399,,,,,,,,,,,,,,,,,
,CAD,0.002005511,,,,0.250162918,,,,0.252168429,,,,,,,,,,,,,,,,,
,GBP,0,0,,,,,,,0,,,,,,,,,,,,,,,,,
,Total,20.84685639,-0.061061243,1.131590121,31.23650501,26.62366814,4.159853922,10.99115267,5.071434984,100,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total : 48'418'238 CHF Positions non soldées - Segment Total (219),,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,Répartition  par classes d'actifs,,N° valeur,Code ISIN,N° client,Solde,Poids (%) ,Libellé    ,Devise,Cours (MC),Estimation moy. avec IC,Estimation (CHF) (début),Estimation + int. courus (en MC),Estimation + int. courus (CHF) ,MCR  (MB) (ouv.pos.),MCR (MC) (ouv.pos.),B / P non réalisé Total  (MB) (ouv.pos.),Valeur d'avance (CHF),"Plus-value,  rev. incl.  (CHF)",B / P - Total  (CHF),"Perf. MW (CHF, %)","Perf. MW, pondérée (CHF, %) ",Effet de change MW pondéré (%),"Perf. TW (CHF, %)","Perf. MW, pondérée (MC, %)","Poids, position client (%)  "
Avoirs en compte,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Comptabilisé,Avoirs en compte,0,,,32540 00,54462.3,0.112483027,COMPTE ORDINAIRE EN CHF,CHF,100,58989.90203,57681.34,54462.3,54462.3,,,,51358.86374,-1382.84,0,-2.290889394,-0.002870092,0,-2.43565422,-0.00287009,27.67822069
,Comptabilisé,Avoirs en compte,0,,,46178 00,1438.93,0.002005511,COMPTE ORDINAIRE EN CAD,CAD,0.67483,984.5712149,982.5445719,1438.93,971.0331319,,,,784.109254,-11.51144,-11.51144,-1.171594687,-2.39E-05,-2.39E-05,-1.171594687,0,0.2728026
Devises à terme,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Comptabilisé,Devises à terme,0,,,15549 00,1083184.95,2.042868981,Vente EUR/USD à 1.08318 No. 694083 du 21.03.2023 au 22.06.2023 Taux terme actuel : 1.09648,USD,0.91316,124398.2063,0,1083184.95,989121.1689,,,,-12140.50786,-11416.76937,-11416.76937,-10.15546173,-0.02369557,-0.02369557,-1.141063116,0,23.23073365
,Comptabilisé,Devises à terme,0,,,15549 00,-1000000,-2.067943227,Vente EUR/USD à 1.08318 No. 694083 du 21.03.2023 au 22.06.2023 Taux terme actuel : 1.09648,EUR,1.001261677,-124912.0302,0,-1004717.906,-1001261.677,,,,0,-723.738485,-723.738485,-0.715312152,-0.001502123,-0.00348804,-0.072334937,0.00198591,-23.51586848
,Comptabilisé,Devises à terme,0,,,54617000,-505000,-1.03535025,Vente EUR/CHF à 0.993666 No. 700141 du 23.03.2023 au 22.06.2023 Taux terme actuel : 0.99267,EUR,0.99267,-46859.02891,0,-503028.769,-501298.35,,,,0,502.74,502.74,1.273807516,0.00104344,-0.0005497,0.100187108,0.00159314,-50.15948825
,Comptabilisé,Devises à terme,0,,,54617000,501801.09,1.036388578,Vente EUR/CHF à 0.993666 No. 700141 du 23.03.2023 au 22.06.2023 Taux terme actuel : 0.99267,CHF,1,47043.85219,0,501801.09,501801.09,,,,399.2355915,0,0,0,0,0,0,0,50.20979198
,Comptabilisé,Devises à terme,0,,,53233600,-5500000,-11.27609183,Vente EUR/CHF à 0.990323 No. 694168 du 21.03.2023 au 22.06.2023 Taux terme actuel : 0.99267,EUR,0.99267,-680700.625,0,-5478531.147,-5459685,,,,0,-12909.52,-12909.52,-2.343786876,-0.026793783,-0.01916147,-0.237012156,-0.00763231,-61.73613679
,Comptabilisé,Devises à terme,0,,,53233600,5446775.48,11.24942932,Vente EUR/CHF à 0.990323 No. 694168 du 21.03.2023 au 22.06.2023 Taux terme actuel : 0.99267,CHF,1,680846.935,0,5446775.48,5446775.48,,,,-12909.52,0,0,0,0,0,0,0,61.59016062
,Comptabilisé,Devises à terme,0,,,54570000,-2000000,-4.10039703,Vente EUR/CHF à 0.990323 No. 694086 du 21.03.2023 au 22.06.2023 Taux terme actuel : 0.99267,EUR,0.99267,-247527.5,0,-1992193.144,-1985340,,,,0,-4694.37,-4694.37,-2.343786421,-0.009743192,-0.00696781,-0.23701211,-0.00277538,-26.4774647
,Comptabilisé,Devises à terme,0,,,54570000,1980645.63,4.090701572,Vente EUR/CHF à 0.990323 No. 694086 du 21.03.2023 au 22.06.2023 Taux terme actuel : 0.99267,CHF,1,247580.7038,0,1980645.63,1980645.63,,,,-4694.37,0,0,0,0,0,0,0,26.41485828
,Comptabilisé,Devises à terme,0,,,32540 00,-130000,-0.266525807,Vente EUR/CHF à 0.990184 No. 694093 du 21.03.2023 au 22.06.2023 Taux terme actuel : 0.99267,EUR,0.99267,-16089.2875,0,-129492.5544,-129047.1,,,,0,-323.12,-323.12,-2.482286345,-0.000670637,-0.00045319,-0.25101772,-0.00021745,-65.58287316
,Comptabilisé,Devises à terme,0,,,32540 00,128723.98,0.265858455,Vente EUR/CHF à 0.990184 No. 694093 du 21.03.2023 au 22.06.2023 Taux terme actuel : 0.99267,CHF,1,16090.4975,0,128723.98,128723.98,,,,-323.12,0,0,0,0,0,0,0,65.41866073
